학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액,위도,경도
서울기독대학교,사립,서울,대학,8139117.6,2072223830,160,548324519,324483120,37.6007568622,126.9121924216
서울대학교,국공립,서울,대학,6091815.7,55264819196,6196,26055585607,17774935607,37.468038058,126.9592943376
서울디지털대학교,사립,서울,대학,2311658.9,17371358750,1911,4171458084,688122250,37.555000498,126.8540200682
서울사이버대학교,사립,서울,대학,2850600.1,27666384213,2862,6588331082,1662447390,37.62984392,127.0271231
서울시립대학교,국공립,서울,대학,2530265.8,20394425532,2913,8243715520,3674180420,37.5825775765,127.059988127
서울신학대학교,사립,경기,대학,7676276.8,10505888245,1245,4506378318,2966895259,37.4783249528,126.7900035092
서울여자간호대학교,사립,서울,전문대학,6963750.0,2690290412,387,1144213813,644713813,37.5975698954,126.9477573738
서울여자대학교,사립,서울,대학,8244464.4,25528477816,1776,5832175423,3775608455,37.6287826577,127.0889915089
서울예술대학교,사립,경기,전문대학,8694943.4,12508086343,1804,6698431630,4191748290,37.3334140856,126.8362747992
서울장신대학교,사립,경기,대학,7781326.9,1561503635,326,1247363152,783713152,37.409182112,127.2454525766
서울한영대학교,사립,서울,대학,7245388.9,2416750250,227,730927600,462277600,37.4965661099,126.8512504636
서원대학교,사립,충북,대학,7574190.5,30396300966,1672,4563221706,2423480782,36.6259797378,127.4821176126
서일대학교,사립,서울,전문대학,6909536.0,20828859640,1989,5940157012,3648376052,37.5860827979,127.0972033101
서정대학교,사립,경기,전문대학,6310353.4,36065878205,1098,2894046628,1263404956,37.8564658189,127.0378035488
선린대학교,사립,경북,전문대학,6301218.6,7746827210,482,1217009849,444126509,36.0907836583,129.3331554942
선문대학교,사립,충남,대학,8244256.0,36563038445,2563,8067079257,4758402577,36.8010412577,127.075732835
성결대학교,사립,경기,대학,7857086.3,18678736589,1874,6203050405,4172150405,37.3798657237,126.9288104411
성공회대학교,사립,서울,대학,7626671.5,9181954284,715,2202572378,1332976519,37.4875235978,126.8261635351
성균관대학교,사립,서울,대학,9145523.9,65103841772,9391,56746968249,46162540357,37.5872284083,126.9931151163
성신여자대학교,사립,서울,대학,8437832.3,34697642139,2442,9074289429,6245529779,37.5916524767,127.0221456165
성운대학교,사립,경북,전문대학,5467121.3,6960085400,86,218543400,87043400,36.0642075229,128.7614088406
세경대학교,사립,강원,전문대학,5372224.4,3665401131,137,341876000,119126000,37.1728006203,128.4542813615
세명대학교,사립,충북,대학,7503323.4,27135544315,2034,5842705657,2972241921,37.17384235,128.1961585
세종사이버대학교,사립,서울,대학,2920578.9,20945861579,1943,4104429340,796721000,37.5537274683,127.0728868294
세한대학교,사립,전남,대학,8013059.4,15689289604,749,2350198396,1280745204,34.74537742,126.483264
송곡대학교,사립,강원,전문대학,5619869.9,2541742406,215,553820541,253620541,37.7920447565,127.6493918315
송원대학교,사립,광주,대학,7106105.0,12910635151,542,1337985411,503246440,35.1081845053,126.8732664426
송호대학교,사립,강원,전문대학,6038419.6,3542906073,332,974803250,447553250,37.4734881442,128.0022338137
수성대학교,사립,대구,전문대학,6388042.7,15925474730,735,1787940680,612574000,35.8552529043,128.6496112874
