2025년_ [재적 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,학생정원,재학생(A),,,,,,,휴학생(B),,,,,,,학사학위취득유예학생(C),,,,,,,재적학생(D=A+B+C),,,,,,
,,,,,,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,
,,,,,,,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
2025,대학교,사립,경북,기존,김천대학교,"2,567","2,319","2,009",310,"1,097",161,912,149,455,431,24,378,20,53,4,1,1,0,0,0,1,0,"2,775","2,441",334,"1,475",181,966,153
2025,대학교,사립,충남,기존,나사렛대학교,"4,784","4,494","3,972",522,"1,926",247,"2,046",275,"1,393","1,310",83,"1,094",64,216,19,8,8,0,4,0,4,0,"5,895","5,290",605,"3,024",311,"2,266",294
2025,대학교,사립,광주,기존,남부대학교,"2,507","2,364","2,135",229,"1,048",118,"1,087",111,406,380,26,323,22,57,4,6,6,0,6,0,0,0,"2,776","2,521",255,"1,377",140,"1,144",115
2025,대학교,사립,충남,기존,남서울대학교,"8,808","8,922","7,655","1,267","3,660",492,"3,995",775,"3,045","2,912",133,"2,387",105,525,28,35,33,2,14,0,19,2,"12,002","10,600","1,402","6,061",597,"4,539",805
2025,대학교,사립,경기,기존,단국대학교,"9,150","11,372","9,538","1,834","4,962",827,"4,576","1,007","3,706","3,303",403,"2,449",282,854,121,475,430,45,167,16,263,29,"15,553","13,271","2,282","7,578","1,125","5,693","1,157"
2025,대학교,사립,충남,기존,단국대학교_제2캠퍼스,"9,632","10,548","9,616",932,"4,006",377,"5,610",555,"2,707","2,476",231,"1,746",172,730,59,216,195,21,56,7,139,14,"13,471","12,287","1,184","5,808",556,"6,479",628
2025,대학교,사립,경북,기존,대구가톨릭대학교,"10,477","11,320","9,516","1,804","4,870",964,"4,646",840,"3,138","2,952",186,"2,504",145,448,41,76,74,2,32,1,42,1,"14,534","12,542","1,992","7,406","1,110","5,136",882
2025,대학교,특별법법인,대구,기존,대구경북과학기술원,840,921,843,78,520,60,323,18,211,208,3,184,3,24,0,0,0,0,0,0,0,0,"1,132","1,051",81,704,63,347,18
2025,교육대학,국립,대구,기존,대구교육대학교,"1,486","1,514","1,380",134,512,65,868,69,44,43,1,28,1,15,0,0,0,0,0,0,0,0,"1,558","1,423",135,540,66,883,69
2025,대학교,사립,경북,기존,대구대학교,"15,316","15,459","13,080","2,379","6,486","1,245","6,594","1,134","5,096","4,764",332,"4,087",262,677,70,106,95,11,44,6,51,5,"20,661","17,939","2,722","10,617","1,513","7,322","1,209"
2025,사이버대학(대학),사립,경북,기존,대구사이버대학교,"3,800","3,212","2,176","1,036",384,184,"1,792",852,"1,760","1,299",461,160,61,"1,139",400,0,0,0,0,0,0,0,"4,972","3,475","1,497",544,245,"2,931","1,252"
2025,대학교,사립,경북,기존,대구예술대학교,"1,260",250,153,97,84,71,69,26,119,116,3,83,3,33,0,0,0,0,0,0,0,0,369,269,100,167,74,102,26
2025,대학교,사립,경북,기존,대구한의대학교,"6,078","6,961","5,225","1,736","2,104",939,"3,121",797,"1,150","1,038",112,779,78,259,34,27,26,1,9,1,17,0,"8,138","6,289","1,849","2,892","1,018","3,397",831
2025,대학교,사립,경북,기존,대신대학교,498,"1,335",483,852,180,486,303,366,175,170,5,98,1,72,4,0,0,0,0,0,0,0,"1,510",653,857,278,487,375,370
2025,대학교,사립,세종,기존,대전가톨릭대학교,160,35,34,1,32,1,2,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,48,47,1,45,1,2,0
2025,대학교,사립,대전,기존,대전대학교,"7,592","7,823","7,061",762,"3,648",341,"3,413",421,"2,570","2,415",155,"2,043",131,372,24,40,38,2,23,2,15,0,"10,433","9,514",919,"5,714",474,"3,800",445
2025,대학교,사립,대전,기존,대전신학대학교,128,48,48,0,23,0,25,0,4,4,0,2,0,2,0,0,0,0,0,0,0,0,52,52,0,25,0,27,0
