학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수,재학생수,대출학생비율(%),1인당_대출액(원)
제주대학교,국공립,제주,20280733019,1641875970,27177775706,대학,0,4060630.6,1261,4034373800,860,2215773800,1202,2792423110,371,805688431,1818600000,1986734679,3805334679,3021462231,6826796910,2463,9306,26.466795615731787,733590.8994197292
제주한라대학교,사립,제주,11033947840,9040000,13285697155,전문대학,0,5618737.1,305,849813000,189,465363000,638,1658443790,285,672943790,384450000,985500000,1369950000,1138306790,2508256790,943,3897,24.19810110341288,643637.8727226071
조선간호대학교,사립,광주,1842357568,163106500,2301457770,전문대학,0,5477556.7,81,199328750,37,88578750,187,469653000,92,166303000,110750000,303350000,414100000,254881750,668981750,268,735,36.46258503401361,910179.2517006802
조선대학교,사립,광주,48480234460,4562616600,67271271120,대학,0,7718958.2,1847,6519313460,1268,4293013460,2807,7821616943,1340,3585897337,2226300000,4235719606,6462019606,7878910797,14340930403,4654,17911,25.98403215900843,800677.2599519849
조선이공대학교,사립,광주,8099033350,4448166,10285526958,전문대학,0,5951378.2,215,492907500,83,165457500,403,893617692,111,223848750,327450000,669768942,997218942,389306250,1386525192,618,2806,22.024233784746972,494128.7213114754
중부대학교,사립,충남,19930365280,1929028500,29467560845,대학,0,7846832.5,1018,3399481490,853,2256231490,1385,3806460142,833,1891015497,1143250000,1915444645,3058694645,4147246987,7205941632,2403,6991,34.37276498355028,1030745.4773279931
중앙대학교,사립,서울,45332366376,16965651150,82149216925,대학,0,8796904.4,5071,27309933390,4149,21861533390,3172,10414380253,1672,5564146913,5448400000,4850233340,10298633340,27425680303,37724313643,8243,18637,44.22922144121908,2024162.3460320868
중원대학교,사립,충북,9087657303,0,19065380412,대학,0,7659699.5,326,979785700,138,497435700,543,1441464670,245,609898000,482350000,831566670,1313916670,1107333700,2421250370,869,3324,26.143200962695545,728414.6720818292
진주교육대학교,국공립,경남,2264500352,213963000,3337101170,대학,0,3778500.0,91,221080400,50,87480400,107,233178000,20,33628000,133600000,199550000,333150000,121108400,454258400,198,1169,16.937553464499572,388587.1685201026
진주보건대학교,사립,경남,7967586344,524531800,9884414529,전문대학,0,6726579.9,258,735271800,156,409621800,639,1664190254,288,671140254,325650000,993050000,1318700000,1080762054,2399462054,897,2249,39.884393063583815,1066901.7581147177
차의과학대학교,사립,경기,6872572060,982830950,9843910131,대학,0,7762597.4,979,5341835800,891,4294535800,492,1671676415,287,948381965,1047300000,723294450,1770594450,5242917765,7013512215,1471,2154,68.29155060352832,3256040.954038997
